"city","x","y"
"CHESWICK",-79.80124572,40.54279222
"EDGEWORTH",-80.19217211,40.5546238
"SEWICKLEY",-80.1792931,40.53992846
"SEWICKLEY HEIGHTS",-80.1528051,40.55952681
"HARMAR",-79.83864475,40.54701469
"FOX CHAPEL",-79.88979332,40.52471423
"FRANKLIN PARK",-80.09984946,40.59027896
"BELL ACRES",-80.17378552,40.58978614
"LEET",-80.20378776,40.57403284
"LEETSDALE",-80.21439597,40.56564185
"SEWICKLEY HILLS",-80.12715537,40.56810077
"OHIO",-80.09260362,40.54247498
"RICHLAND",-79.95795333,40.64398267
"MCCANDLESS",-80.02831237,40.58360099
"HAYSVILLE",-80.15623845,40.52688652
"FRAZER",-79.79642699,40.60649891
"FAWN",-79.76724063,40.64989043
"HARRISON",-79.71722514,40.63747701
"TARENTUM",-79.76012829,40.6042541
"GLEN OSBORNE",-80.16795049,40.53080186
"EMSWORTH",-80.09656255,40.51123621
"GLENFIELD",-80.1333224,40.52074466
"AVALON",-80.06803996,40.50111042
"MILLVALE",-79.97360368,40.48173849
"NEVILLE",-80.11150036,40.50635074
"BEN AVON",-80.08149999,40.50584877
"BEN AVON HEIGHTS",-80.07309307,40.51254821
"RESERVE",-79.98880774,40.48510296
"SHALER",-79.96323828,40.5229039
"EAST DEER",-79.78023305,40.58829985
"WILKINSBURG",-79.87332626,40.44421801
"PLUM",-79.74957463,40.50238205
"BRADDOCK HILLS",-79.86293004,40.41801794
"RANKIN",-79.88123368,40.4109547
"SWISSVALE",-79.88586234,40.42061467
"EDGEWOOD",-79.88397176,40.4313035
"WEST VIEW",-80.03329915,40.51816429
"CHURCHILL",-79.84159802,40.4388606
"MONROEVILLE",-79.76052541,40.42624045
"CHALFANT",-79.8386197,40.41010189
"ROSS",-80.02425046,40.52560359
"BRACKENRIDGE",-79.7410283,40.60797832
"SPRINGDALE",-79.78732235,40.55435594
"HEIDELBERG",-80.09219102,40.39147359
"ETNA",-79.94753021,40.49757212
"VERONA",-79.84186675,40.50508474
"PENNSBURY VILLAGE",-80.10113756,40.42827472
"CLAIRTON",-79.88536664,40.29758829
"SPRINGDALE",-79.78190108,40.54087099
"OAKMONT",-79.83656002,40.52001975
"BLAWNOX",-79.85994484,40.49219463
"PLEASANT HILLS",-79.95964846,40.3298264
"SHARPSBURG",-79.92489636,40.49401319
"WILKINS",-79.82302052,40.42648935
"TURTLE CREEK",-79.82146857,40.40857102
"BRADDOCK",-79.86895726,40.40180153
"EAST PITTSBURGH",-79.83820654,40.39687688
"NORTH BRADDOCK",-79.85333711,40.40227282
"WILMERDING",-79.81004829,40.39419068
"WALL",-79.78570625,40.3915555
"VERSAILLES",-79.83092151,40.31769964
"DRAVOSBURG",-79.89061278,40.35085739
"MCKEESPORT",-79.84397782,40.34186268
"PORT VUE",-79.87202091,40.33708195
"GLASSPORT",-79.88620815,40.32617919
"DUQUESNE",-79.85019944,40.37318611
"LIBERTY",-79.85904704,40.32431777
"LINCOLN",-79.85546217,40.29948189
"ELIZABETH",-79.82774688,40.26378943
"ELIZABETH",-79.88736703,40.27138232
"WEST ELIZABETH",-79.89517018,40.2721539
"SOUTH PARK",-79.99445736,40.29881144
"WEST MIFFLIN",-79.9072661,40.35807182
"MOUNT OLIVER",-79.98564204,40.41128055
"WHITAKER",-79.88641903,40.40067124
"HOMESTEAD",-79.90973366,40.40727787
"MUNHALL",-79.90049914,40.3936003
"WEST HOMESTEAD",-79.91858315,40.39774338
"GREEN TREE",-80.05431956,40.41706503
"DORMONT",-80.03770969,40.39405532
"BALDWIN",-80.01428041,40.38014736
"BRENTWOOD",-79.97578816,40.37339011
"BALDWIN",-79.96687524,40.36901405
"WHITEHALL",-79.98979132,40.36021719
"MOUNT LEBANON",-80.04944502,40.37524736
"CASTLE SHANNON",-80.01944137,40.36645105
